Jul 17, 2020 - 1573	1213214657	21
Jul 14, 2020 - 1572	0626555664	22
Jul 10, 2020 - 1571	1015204953	22
Jul 7, 2020 - 1570	1620253043	18
Jul 3, 2020 - 1569	2040444550	24
Jun 30, 2020 - 1568	0916293753	11
Jun 26, 2020 - 1567	1933375657	06
Jun 23, 2020 - 1566	0620374048	15
Jun 19, 2020 - 1565	1134365266	07
Jun 16, 2020 - 1564	2123333542	06
Jun 12, 2020 - 1563	0914576770	02
Jun 9, 2020 - 1562	0105091023	22
Jun 5, 2020 - 1561	3235374755	22
Jun 2, 2020 - 1560	0920232629	08
May 29, 2020 - 1559	1013324151	03
May 26, 2020 - 1558	3452585962	04
May 22, 2020 - 1557	0810204446	18
May 19, 2020 - 1556	0819253666	09
May 15, 2020 - 1555	1117323346	25
May 12, 2020 - 1554	0716274452	05
May 8, 2020 - 1553	0520226170	04
May 5, 2020 - 1552	0713172145	14
May 1, 2020 - 1551	2830313566	14
Apr 28, 2020 - 1550	1319535463	17
Apr 24, 2020 - 1549	0127326067	18
Apr 21, 2020 - 1548	1315246770	17
Apr 17, 2020 - 1547	1335394655	14
Apr 14, 2020 - 1546	2947656970	07
Apr 10, 2020 - 1545	0211215760	13
Apr 7, 2020 - 1544	2533435168	20
Apr 3, 2020 - 1543	2438445758	17
Mar 31, 2020 - 1542	0817515770	02
Mar 27, 2020 - 1541	0325285060	01
Mar 24, 2020 - 1540	0208161831	14
Mar 20, 2020 - 1539	3435414554	05
Mar 17, 2020 - 1538	2027285859	25
Mar 13, 2020 - 1537	0722374344	22
Mar 10, 2020 - 1536	0617485469	12
Mar 6, 2020 - 1535	1548565870	04
Mar 3, 2020 - 1534	0812335664	02
Feb 28, 2020 - 1533	0203144164	17
Jul 10, 2020 - 9743	0118192325
Jul 9, 2020 - 9742	1119232632
Jul 8, 2020 - 9741	1113242732
Jul 7, 2020 - 9740	1422232932
Jul 6, 2020 - 9739	1518212538
Jul 5, 2020 - 9738	0210142427
Jul 4, 2020 - 9737	0406092935
Jul 3, 2020 - 9736	0406363738
Jul 2, 2020 - 9735	1522252734
Jul 1, 2020 - 9734	0210192023
Jun 30, 2020 - 9733	0215171936
Jun 29, 2020 - 9732	0913192023
Jun 28, 2020 - 9731	0928323537
Jun 27, 2020 - 9730	0507243237
Jun 26, 2020 - 9729	0110152126
Jun 25, 2020 - 9728	0708192839
Jun 24, 2020 - 9727	0914162037
Jun 23, 2020 - 9726	1112172031
Jun 22, 2020 - 9725	0412171837
Jun 21, 2020 - 9724	0710152938
Jun 20, 2020 - 9723	0413162123
Jun 19, 2020 - 9722	0107172833
Jun 18, 2020 - 9721	0405192037
Jun 17, 2020 - 9720	0823263137
Jun 16, 2020 - 9719	1521232428
Jun 15, 2020 - 9718	0105132122
Jun 14, 2020 - 9717	0409162939
Jun 13, 2020 - 9716	1014152226
Jun 12, 2020 - 9715	0203161738
Jun 11, 2020 - 9714	1015172134
Jun 10, 2020 - 9713	0209121419
Jun 9, 2020 - 9712	0209101618
Jun 8, 2020 - 9711	0213151729
Jun 7, 2020 - 9710	0222273233
Jun 6, 2020 - 9709	0510132735
Jun 5, 2020 - 9708	0211141825
Jun 4, 2020 - 9707	0708222728
Jun 3, 2020 - 9706	0512181923
Jun 2, 2020 - 9705	0507202433
Jun 1, 2020 - 9704	0103121824
May 31, 2020 - 9703	2326313738
May 30, 2020 - 9702	0207303135
May 29, 2020 - 9701	0913151729
May 28, 2020 - 9700	0308222327
May 27, 2020 - 9699	0110202638
May 26, 2020 - 9698	0211121522
May 25, 2020 - 9697	0507262935
May 24, 2020 - 9696	1317192326
May 23, 2020 - 9695	0912132834
May 22, 2020 - 9694	0304081624
May 21, 2020 - 9693	1012253136
May 20, 2020 - 9692	1419242728
May 19, 2020 - 9691	1823283637
May 18, 2020 - 9690	0416213138
May 17, 2020 - 9689	0515183035
May 16, 2020 - 9688	1115202939
May 15, 2020 - 9687	0711122228
May 14, 2020 - 9686	1228343739
May 13, 2020 - 9685	0708101523
May 12, 2020 - 9684	0409112138
May 11, 2020 - 9683	0612162833
May 10, 2020 - 9682	1215161928
May 9, 2020 - 9681	1417192728
May 8, 2020 - 9680	0203071920
May 7, 2020 - 9679	0810121423
May 6, 2020 - 9678	1020222729
May 5, 2020 - 9677	0824323335
May 4, 2020 - 9676	0408212326
May 3, 2020 - 9675	0507132731
May 2, 2020 - 9674	0506072022
May 1, 2020 - 9673	0811193637
