['11[1]', '18[4]', '22[3]', '23[3]', '41[4]']
['10[4]', '14[2]', '23[3]', '33[3]', '47[1]']
['01[1]', '16[1]', '20[4]', '39[3]', '41[4]']
['04[2]', '16[1]', '20[4]', '30[2]', '45[4]']
['09[2]', '10[4]', '20[4]', '23[3]', '30[2]']
['16[1]', '20[4]', '23[3]', '30[2]', '32[3]']
['14[2]', '16[1]', '19[3]', '43[3]', '47[1]']
['14[2]', '17[2]', '18[4]', '38[3]', '43[3]']
['07[4]', '22[3]', '26[3]', '32[3]', '45[4]']
['07[4]', '17[2]', '34[3]', '35[1]', '46[4]']
['16[1]', '19[3]', '20[4]', '21[1]', '47[1]']
['04[2]', '20[4]', '22[3]', '27[3]', '37[2]']
['06[3]', '21[1]', '26[3]', '27[3]', '37[2]']
['14[2]', '34[3]', '35[1]', '38[3]', '46[4]']
['04[2]', '07[4]', '11[1]', '22[3]', '41[4]']
['04[2]', '14[2]', '27[3]', '35[1]', '45[4]']
['07[4]', '23[3]', '33[3]', '39[3]', '43[3]']
['18[4]', '21[1]', '27[3]', '35[1]', '45[4]']
['11[1]', '18[4]', '29[4]', '34[3]', '42[3]']
['07[4]', '21[1]', '26[3]', '29[4]', '43[3]']
['18[4]', '19[3]', '35[1]', '38[3]', '45[4]']
['01[1]', '04[2]', '27[3]', '38[3]', '45[4]']
['14[2]', '26[3]', '27[3]', '35[1]', '43[3]']
['14[2]', '16[1]', '29[4]', '33[3]', '37[2]']
['07[4]', '08[3]', '27[3]', '31[3]', '38[3]']
['11[1]', '20[4]', '30[2]', '32[3]', '46[4]']
['22[3]', '31[3]', '32[3]', '37[2]', '46[4]']
['11[1]', '19[3]', '20[4]', '23[3]', '29[4]']
['07[4]', '17[2]', '35[1]', '41[4]', '43[3]']
['04[2]', '06[3]', '16[1]', '37[2]', '46[4]']
['07[4]', '11[1]', '26[3]', '33[3]', '45[4]']
['04[2]', '06[3]', '17[2]', '39[3]', '46[4]']
['01[1]', '04[2]', '17[2]', '23[3]', '25[3]']
['18[4]', '21[1]', '35[1]', '38[3]', '46[4]']
['14[2]', '17[2]', '22[3]', '45[4]', '47[1]']
['17[2]', '22[3]', '32[3]', '34[3]', '45[4]']
['04[2]', '11[1]', '14[2]', '22[3]', '27[3]']
['11[1]', '18[4]', '26[3]', '29[4]', '31[3]']
['04[2]', '16[1]', '22[3]', '30[2]', '45[4]']
['09[2]', '20[4]', '26[3]', '38[3]', '47[1]']
['06[3]', '21[1]', '26[3]', '27[3]', '37[2]']
['01[1]', '04[2]', '08[3]', '19[3]', '25[3]']
['09[2]', '20[4]', '21[1]', '23[3]', '27[3]']
['14[2]', '26[3]', '29[4]', '32[3]', '35[1]']
['04[2]', '16[1]', '19[3]', '26[3]', '33[3]']
['06[3]', '18[4]', '26[3]', '41[4]', '47[1]']
['07[4]', '11[1]', '22[3]', '32[3]', '45[4]']
['14[2]', '32[3]', '38[3]', '45[4]', '47[1]']
['01[1]', '06[3]', '18[4]', '27[3]', '35[1]']
['07[4]', '08[3]', '32[3]', '35[1]', '47[1]']
['06[3]', '18[4]', '34[3]', '41[4]', '47[1]']
['21[1]', '22[3]', '26[3]', '32[3]', '39[3]']
['19[3]', '21[1]', '22[3]', '33[3]', '46[4]']
['01[1]', '11[1]', '23[3]', '30[2]', '45[4]']
['16[1]', '18[4]', '30[2]', '41[4]', '43[3]']
['17[2]', '21[1]', '25[3]', '34[3]', '46[4]']
['08[3]', '14[2]', '16[1]', '18[4]', '21[1]']
['10[4]', '14[2]', '32[3]', '38[3]', '39[3]']
['07[4]', '11[1]', '32[3]', '39[3]', '45[4]']
['07[4]', '23[3]', '30[2]', '32[3]', '38[3]']
